,trade_id,fund_id,dealDate,dealTime,symbol,side,price,qty,s_info_windcode,direction,trade_dt,trade_time
3320,0102000049605917,44,20250821,130113402,000926,1,3.110,300,000926.SH,B,2025-08-21,13:01:13.402000
3321,0103000052512543,44,20250821,130113025,300925,2,25.600,200,300925.SH,S,2025-08-21,13:01:13.025000
3322,0105000050853316,44,20250821,130107553,300789,1,31.810,100,300789.SH,B,2025-08-21,13:01:07.553000
3323,1021779282073725900,57,20250821,130107351,002989,2,30.000,300,002989.SH,S,2025-08-21,13:01:07.351000
3324,0104000048977242,60,20250821,130104820,002989,2,30.010,200,002989.SH,S,2025-08-21,13:01:04.820000
3325,0102000049557278,60,20250821,130102800,300474,1,82.020,100,300474.SH,B,2025-08-21,13:01:02.800000
3326,0000000040076849,62,20250821,130101177,600011,1,7.390,2200,600011.SZ,B,2025-08-21,13:01:01.177000
3327,0000000040076850,60,20250821,130101177,600011,1,7.390,600,600011.SZ,B,2025-08-21,13:01:01.177000
3328,0102000049549383,44,20250821,130101177,000959,2,4.230,100,000959.SH,S,2025-08-21,13:01:01.177000
3329,0000000040072253,44,20250821,130100480,688552,1,39.340,200,688552.SZ,B,2025-08-21,13:01:00.480000
3330,0000000040067801,44,20250821,130059334,600826,1,11.240,100,600826.SZ,B,2025-08-21,13:00:59.334000
3331,0000000040044756,44,20250821,130052260,600737,1,15.630,100,600737.SZ,B,2025-08-21,13:00:52.260000
3332,0000000040043208,44,20250821,130051745,688220,2,111.890,154,688220.SZ,S,2025-08-21,13:00:51.745000
3333,0000000040043207,44,20250821,130051745,688220,2,111.890,46,688220.SZ,S,2025-08-21,13:00:51.745000
3334,0000000040036282,44,20250821,130049695,688648,2,67.340,200,688648.SZ,S,2025-08-21,13:00:49.695000
3335,0105000050763654,60,20250821,130046650,002128,1,19.800,100,002128.SH,B,2025-08-21,13:00:46.650000
3336,0000000040025053,60,20250821,130046272,603296,2,95.990,200,603296.SZ,S,2025-08-21,13:00:46.272000
3337,0000000040016179,60,20250821,130043865,603619,1,20.250,100,603619.SZ,B,2025-08-21,13:00:43.865000
3338,0000000040016178,60,20250821,130043865,603619,1,20.250,100,603619.SZ,B,2025-08-21,13:00:43.865000
3339,0101000050953777,44,20250821,130043696,000958,2,7.020,500,000958.SH,S,2025-08-21,13:00:43.696000
3340,0101000050951143,44,20250821,130043093,300027,2,2.960,1700,300027.SH,S,2025-08-21,13:00:43.093000
3341,0101000050948787,44,20250821,130042628,000528,1,11.400,800,000528.SH,B,2025-08-21,13:00:42.628000
3342,0000000040009936,62,20250821,130042282,600941,1,108.680,100,600941.SZ,B,2025-08-21,13:00:42.282000
3343,0000000040009068,60,20250821,130042077,600208,2,4.740,200,600208.SZ,S,2025-08-21,13:00:42.077000
3344,0000000040006903,44,20250821,130041702,603486,2,90.930,100,603486.SZ,S,2025-08-21,13:00:41.702000
3345,0102000049466734,60,20250821,130037610,301413,1,113.750,100,301413.SH,B,2025-08-21,13:00:37.610000
3346,0102000049466684,44,20250821,130037612,301413,1,113.750,100,301413.SH,B,2025-08-21,13:00:37.612000
3347,0000000039985570,44,20250821,130035685,603121,1,19.350,100,603121.SZ,B,2025-08-21,13:00:35.685000
3348,0103000052324032,44,20250821,130036470,002317,1,22.540,100,002317.SH,B,2025-08-21,13:00:36.470000
3349,0000000039972111,44,20250821,130032808,603486,2,90.930,100,603486.SZ,S,2025-08-21,13:00:32.808000
3350,0000000039967001,62,20250821,130031749,603113,1,8.070,2100,603113.SZ,B,2025-08-21,13:00:31.749000
