,代码,昨收
950,605055,7.23
951,605050,14.99
952,605033,20.9
953,605028,20.39
954,605020,27.76
955,605018,12.74
956,605016,20.88
957,605011,22.08
958,605009,41.0
959,605008,13.78
960,605007,12.2
961,605006,8.23
962,605005,19.29
963,605003,22.04
964,605001,7.77
965,603999,6.79
966,603998,11.05
967,603997,12.05
968,603996,0.39
969,603995,17.95
970,603993,10.67
971,603992,27.3
972,603991,62.7
973,603990,14.88
974,603989,17.03
975,603988,23.32
976,603987,8.99
977,603986,121.01
978,603985,17.3
979,603983,40.54
980,603982,9.05
981,603980,5.62
982,603979,53.33
983,603978,16.88
984,603977,12.56
985,603976,21.38
986,603970,13.99
987,603969,9.09
988,603968,12.65
989,603967,11.52
990,603966,10.76
991,603963,1.18
992,603960,19.44
993,603959,5.46
994,603958,16.51
995,603956,6.72
996,603955,43.35
997,603950,24.13
998,603949,18.62
999,603948,20.91
1000,603939,23.71
1001,603938,14.94
1002,603937,11.47
1003,603936,10.66
1004,603933,16.58
1005,603931,27.0
1006,603929,37.63
1007,603928,15.37
1008,603927,20.04
1009,603926,12.83
1010,603922,21.41
1011,603920,36.9
1012,603919,18.98
1013,603918,19.29
1014,603917,13.48
1015,603916,10.98
1016,603915,15.46
1017,603912,10.48
1018,603909,10.16
1019,603908,25.85
1020,603906,14.59
1021,603903,7.82
1022,603901,10.74
1023,603900,10.27
1024,603899,31.0
1025,603898,11.22
1026,603897,26.67
1027,603896,22.13
1028,603895,28.47
1029,603893,177.88
1030,603890,12.95
1031,603889,5.97
1032,603888,19.41
1033,603887,18.01
1034,603886,12.7
1035,603885,12.55
1036,603883,18.14
1037,603882,29.66
1038,603881,27.85
1039,603880,6.71
1040,603879,6.83
1041,603878,5.54
1042,603877,14.64
1043,603876,9.38
1044,603871,11.13
1045,603869,8.14
1046,603868,39.22
1047,603867,29.53
1048,603866,5.51
1049,603863,17.52
1050,603861,9.68
1051,603860,32.3
1052,603859,39.92
1053,603858,18.29
1054,603856,12.25
1055,603855,22.14
1056,603848,22.7
1057,603843,2.6
1058,603839,7.51
1059,603838,6.31
1060,603836,13.7
1061,603833,53.21
1062,603829,18.36
1063,603828,4.32
1064,603826,19.22
1065,603825,11.79
1066,603823,13.29
1067,603822,60.19
1068,603819,12.04
1069,603818,4.82
1070,603817,5.86
1071,603816,27.04
1072,603815,8.16
1073,603813,15.68
1074,603811,15.18
1075,603810,15.89
1076,603809,15.49
1077,603808,8.24
1078,603806,13.72
1079,603803,8.78
1080,603801,10.01
1081,603800,57.34
1082,603799,43.56
1083,603798,12.29
1084,603797,4.66
1085,603790,18.9
1086,603789,5.75
1087,603788,16.58
1088,603787,12.83
1089,603786,51.59
1090,603779,7.42
1091,603778,3.73
1092,603777,13.34
1093,603776,23.28
1094,603773,30.03
1095,603768,12.63
1096,603767,32.65
1097,603766,13.43
