代码,昨收
603358,38.72
301609,48.38
000900,4.35
600905,4.31
301189,30.43
002094,8.75
688403,13.04
600566,26.62
300951,34.47
300895,47.18
300864,21.47
603201,17.49
001368,25.66
002069,4.34
300908,30.53
600649,4.6
600369,4.64
603615,22.74
600025,9.18
300905,31.84
000723,4.62
605339,18.25
600020,4.45
002004,4.45
605577,13.52
002388,4.55
002839,4.49
301636,56.54
600377,14.06
300711,23.3
600386,4.71
002110,4.84
300789,33.1
300247,4.8
300791,23.49
002537,9.44
601777,9.63
603836,14.15
002984,19.3
603596,50.16
000796,4.99
603721,19.84
301232,40.32
002646,10.11
300770,40.61
002242,10.15
000755,5.02
688184,10.14
601162,5.0
001277,53.7
002044,5.25
873339,10.48
002053,10.76
600738,5.33
920098,36.61
836957,15.4
601595,37.47
600332,26.75
300046,42.96
870976,26.88
000510,5.17
002891,58.0
835207,30.89
603323,5.38
600887,27.57
002032,51.17
600256,5.51
600973,5.53
002316,5.48
000548,5.66
601816,5.48
603317,11.25
300294,27.05
603868,39.2
603103,16.71
002701,5.49
601107,5.61
603896,22.41
600517,5.44
600202,6.06
002816,17.37
688025,115.4
300845,11.9
301116,11.8
688737,24.16
601878,11.48
601198,11.56
600655,5.79
600529,23.03
000703,6.0
001338,11.86
688209,19.21
603657,30.88
600480,12.57
601665,6.11
603858,18.3
300328,12.29
002546,6.09
300531,19.18
002929,44.85
600697,12.76
002453,6.18
603035,13.77
002867,13.17
600222,6.75
000928,6.62
600784,6.71
300511,6.76
600335,6.52
601801,6.85
601136,20.25
001400,58.55
601006,6.51
601038,13.42
000811,13.4
000421,6.75
300579,34.13
300847,20.45
601077,6.77
002404,6.68
600667,6.74
002327,7.33
600359,7.32
600019,7.31
873833,21.01
601900,14.3
603348,21.22
301160,66.44
301109,14.17
603126,7.34
001382,21.59
002617,7.55
000999,31.79
301369,62.07
002597,22.86
603929,37.53
002608,7.5
003013,15.12
002159,15.48
605138,7.77
601033,15.36
001387,14.82
600009,31.9
600754,22.3
000917,7.64
603713,55.17
002001,22.6
603209,15.29
300144,8.54
600048,8.03
601108,8.24
601200,8.29
601921,8.32
603808,8.57
002673,8.63
688019,146.5
688526,17.3
600642,8.18
603345,73.68
000156,8.29
600133,9.34
430090,8.99
600273,8.92
002458,9.44
601825,9.05
600487,17.65
601985,9.16
301039,8.78
000537,8.79
000848,8.84
603726,19.03
600872,18.92
603199,36.1
600461,9.23
002788,8.72
002612,17.82
601939,9.47
600745,36.41
603283,40.51
