OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPDATE,OPMODE,MOPDATE
{019C90DA-7D16-47B5-8832-1FDBD3147003},600909.SH,20251024,CNY,6.38,6.38,6.42,6.33,6.4,0.02,0.3135,342005.74,217805.217,8.1192,8.1192,8.1701,8.0556,8.1446,1.272601,6.3685,交易,-1.0,7.02,5.74,6.4,2025-10-24 15:10:31,0,2025-10-24 15:04:11
{01A47AC7-A8C8-4DC0-B91E-A99C25DF352F},300576.SZ,20251024,CNY,35.9,36.34,36.95,36.15,36.87,0.97,2.7019,63381.73,232515.94,150.0097,151.8483,154.3972,151.0543,154.0629,4.178543,36.685,交易,-1.0,43.08,28.72,36.87,2025-10-24 15:10:31,0,2025-10-24 15:05:39
{01B132E6-00FC-4EC7-B559-8178FB8F4CB6},600223.SH,20251024,CNY,7.93,7.93,7.96,7.85,7.89,-0.04,-0.5044,52063.19,41034.031,15.6091,15.6091,15.6682,15.4516,15.5304,1.968361,7.8816,交易,-1.0,8.72,7.14,7.89,2025-10-24 15:10:31,0,2025-10-24 15:04:09
{01B81DA4-5F9C-4DD0-9D24-840C527B607C},603057.SH,20251024,CNY,18.73,18.75,18.84,18.64,18.76,0.03,0.1602,11348.41,21253.62,21.0236,21.046,21.147,20.9225,21.0572,1.122454,18.7283,交易,-1.0,20.6,16.86,18.76,2025-10-24 15:10:31,0,2025-10-24 15:04:09
{01CBDDBE-B262-4DBC-AB66-336107F87033},002483.SZ,20251024,CNY,7.36,7.37,7.47,7.3,7.44,0.08,1.087,140806.8,104297.808,25.4026,25.4371,25.7822,25.1955,25.6787,3.451435,7.4072,交易,-1.0,8.1,6.62,7.44,2025-10-24 15:10:31,0,2025-10-24 15:04:53
{01EE24E0-6115-4DCD-8C78-79EBA77FCECA},601108.SH,20251024,CNY,8.44,8.43,8.49,8.34,8.4,-0.04,-0.4739,490492.4,411408.099,10.0836,10.0717,10.1434,9.9641,10.0358,1.194742,8.3877,交易,-1.0,9.28,7.6,8.4,2025-10-24 15:10:31,0,2025-10-24 15:04:11
{01F0554D-6FEC-47FF-BDAB-E5D484F413B5},002335.SZ,20251024,CNY,61.5,62.44,66.38,62.4,66.0,4.5,7.3171,274432.2,1781078.415,364.7948,370.3705,393.7411,370.1333,391.4871,5.931623,64.9005,交易,-1.0,67.65,55.35,66.0,2025-10-24 15:10:31,0,2025-10-24 15:04:53
{02065DBF-18E5-4C81-A21E-F4C37BC3C786},000663.SZ,20251024,CNY,7.12,7.11,7.23,7.06,7.1,-0.02,-0.2809,106475.0,75971.803,28.8317,28.7913,29.2772,28.5888,28.7508,4.049403,7.1352,交易,-1.0,7.83,6.41,7.1,2025-10-24 15:10:31,0,2025-10-24 15:05:38
{020CB01F-D4E4-4651-A0CE-CA7589A77806},600579.SH,20251024,CNY,8.88,8.88,9.31,8.83,9.18,0.3,3.3784,307813.0,282711.138,16.7171,16.7171,17.5266,16.623,17.2818,1.882554,9.1845,交易,-1.0,9.77,7.99,9.18,2025-10-24 15:10:31,0,2025-10-24 15:04:09
{02179C07-0D1F-417E-A491-DA879924689E},000426.SZ,20251024,CNY,30.34,30.55,30.82,30.01,30.34,0.0,0.0,388073.17,1178250.651,519.0114,522.6038,527.2225,513.3663,519.0114,17.106507,30.3616,交易,-1.0,33.37,27.31,30.34,2025-10-24 15:10:31,0,2025-10-24 15:05:38
{02291B36-2025-487A-B4A3-D897F0712CE3},600623.SH,20251024,CNY,7.87,7.87,7.93,7.73,7.77,-0.1,-1.2706,310161.34,242531.175,257.8546,257.8546,259.8205,253.2677,254.5782,32.76425,7.8195,交易,-1.0,8.66,7.08,7.77,2025-10-24 15:10:31,0,2025-10-24 15:04:09
{0233D320-DC0B-4DD3-BE55-27155179F228},002362.SZ,20251024,CNY,22.83,22.91,23.19,22.85,23.13,0.3,1.3141,41470.0,95819.553,45.66,45.82,46.38,45.7,46.26,2.0,23.1058,交易,-1.0,25.11,20.55,23.13,2025-10-24 15:10:31,0,2025-10-24 15:04:53
